freq_ghz,photoluminescence_normalized
2.85106,1.0
2.85134,1.0
2.85162,1.0
2.8519,1.0
2.85218,1.0
2.85246,1.0
2.85275,1.0
2.85303,1.0
2.85331,1.0
2.85359,1.0
2.85387,1.0
2.85415,1.0
2.85443,1.0
2.85471,1.0
2.85499,1.0
2.85527,1.0
2.85555,1.0
2.85583,1.0
2.85611,1.0
2.85639,1.0
2.85667,1.0
2.85695,1.0
2.85723,1.0
2.85752,1.0
2.8578,1.0
2.85808,1.0
2.85836,1.0
2.85864,1.0
2.85892,1.0
2.8592,1.0
2.85948,0.99999
2.85976,0.99998
2.86004,0.99997
2.86032,0.99994
2.8606,0.9999
2.86088,0.99982
2.86116,0.9997
2.86144,0.9995
2.86172,0.99918
2.862,0.99869
2.86228,0.99794
2.86257,0.99681
2.86285,0.99518
2.86313,0.99284
2.86341,0.98958
2.86369,0.98511
2.86397,0.97914
2.86425,0.97133
2.86453,0.96134
2.86481,0.94884
2.86509,0.93354
2.86537,0.91526
2.86565,0.89392
2.86593,0.86956
2.86621,0.84241
2.86649,0.81289
2.86677,0.78155
2.86705,0.7491
2.86733,0.71635
2.86762,0.68417
2.8679,0.6534
2.86818,0.62486
2.86846,0.59924
2.86874,0.57714
2.86902,0.55902
2.8693,0.54518
2.86958,0.53585
2.86986,0.53116
2.87014,0.53116
2.87042,0.53585
2.8707,0.54518
2.87098,0.55902
2.87126,0.57714
2.87154,0.59924
2.87182,0.62486
2.8721,0.6534
2.87238,0.68417
2.87267,0.71635
2.87295,0.7491
2.87323,0.78155
2.87351,0.81289
2.87379,0.84241
2.87407,0.86956
2.87435,0.89392
2.87463,0.91526
2.87491,0.93354
2.87519,0.94884
2.87547,0.96134
2.87575,0.97133
2.87603,0.97914
2.87631,0.98511
2.87659,0.98958
2.87687,0.99284
2.87715,0.99518
2.87743,0.99681
2.87772,0.99794
2.878,0.99869
2.87828,0.99918
2.87856,0.9995
2.87884,0.9997
2.87912,0.99982
2.8794,0.9999
2.87968,0.99994
2.87996,0.99997
2.88024,0.99998
2.88052,0.99999
2.8808,1.0
2.88108,1.0
2.88136,1.0
2.88164,1.0
2.88192,1.0
2.8822,1.0
2.88248,1.0
2.88277,1.0
2.88305,1.0
2.88333,1.0
2.88361,1.0
2.88389,1.0
2.88417,1.0
2.88445,1.0
2.88473,1.0
2.88501,1.0
2.88529,1.0
2.88557,1.0
2.88585,1.0
2.88613,1.0
2.88641,1.0
2.88669,1.0
2.88697,1.0
2.88725,1.0
2.88754,1.0
2.88782,1.0
2.8881,1.0
2.88838,1.0
2.88866,1.0
2.88894,1.0
2.88922,1.0
2.8895,1.0
2.88978,1.0
2.89006,1.0
2.89034,1.0
2.89062,1.0
2.8909,1.0
2.89118,1.0
2.89146,1.0
2.89174,1.0
2.89202,1.0
2.8923,1.0
2.89259,1.0
2.89287,1.0
2.89315,1.0
2.89343,1.0
2.89371,1.0
2.89399,1.0
2.89427,1.0
2.89455,1.0
2.89483,1.0
2.89511,1.0
2.89539,1.0
2.89567,1.0
2.89595,1.0
2.89623,1.0
2.89651,1.0
2.89679,1.0
2.89707,1.0
2.89735,1.0
2.89764,1.0
2.89792,1.0
2.8982,1.0
2.89848,1.0
2.89876,1.0
2.89904,1.0
2.89932,1.0
2.8996,1.0
2.89988,1.0
2.90016,1.0
2.90044,1.0
2.90072,1.0
2.901,1.0
2.90128,1.0
2.90156,1.0
2.90184,1.0
2.90212,1.0
2.9024,1.0
2.90269,1.0
2.90297,1.0
2.90325,1.0
2.90353,1.0
2.90381,1.0
2.90409,1.0
2.90437,1.0
2.90465,1.0
2.90493,1.0
